Size Designation;Size.2.1;Size.2.2;Name;Load Index;Speed Index.1;Speed Index.2;Price per Tire;Total Price;Cube
225/40;R18;92Y;PIRELLI POWERGY;630 kg;Y ;max. 300 km/h;94,93;379,72;A
225/40;R18;92Y;CONTINENTAL SPORT CONTACT 7;630 kg;Y ;max. 300 km/h;112,54;450,16;A
225/40;R18;92Y;PIRELLI P-ZERO (PZ4) (NEW) S.C.;630 kg;Y ;max. 300 km/h;104,55;418,2;B
225/40;R18;92Y;MICHELIN PRIMACY 4;630 kg;Y ;max. 300 km/h;126,39;505,56;A
225/40;R18;92W;CONTINENTAL ULTRACONTACT;630 kg;W ;max. 270 km/h;119,75;479;A
225/40;R18;92Y;BRIDGESTONE TURANZA 6;630 kg;Y ;max. 300 km/h;104,48;417,92;A
225/40;R18;92W;GOODYEAR EFFICIENTGRIP PERFORMANCE;630 kg;W ;max. 270 km/h;94,36;377,44;A
225/40;R18;92W;HANKOOK K135 VENTUS PRIME4;630 kg;W ;max. 270 km/h;93,87;375,48;A
225/40;R18;92Y;KLEBER Dynaxer UHP;630 kg;Y ;max. 300 km/h;87,71;350,84;A
225/40;R18;92Y;MICHELIN PRIMACY 4+;630 kg;Y ;max. 300 km/h;123,05;492,2;A
225/40;R18;92Y;PIRELLI CINTURATO P7 (P7C2);630 kg;Y ;max. 300 km/h;99,83;399,32;A
225/40;R18;92Y;FALKEN FK520 AZENIS;630 kg;Y ;max. 300 km/h;84,92;339,68;A
225/40;R18;92Y;GOODYEAR EAGLE F1 ASYMMETRIC 6;630 kg;Y ;max. 300 km/h;99,35;397,4;A
225/40;R18;92Y;DUNLOP SP SPORT MAXX RT;630 kg;Y ;max. 300 km/h;91,35;365,4;A
225/40;R18;92W;YOKOHAMA BLUEARTH-GT AE51;630 kg;W ;max. 270 km/h;88,12;352,48;A
225/40;R18;92Y;DUNLOP SP SPORT MAXX RT AO;630 kg;Y ;max. 300 km/h;98,02;392,08;A
225/40;R18;92Y;DEBICA PRESTO UHP 2;630 kg;Y ;max. 300 km/h;75,82;303,28;A
225/40;R18;92Y;MICHELIN PILOT SPORT 4;630 kg;Y ;max. 300 km/h;144,52;578,08;A
225/40;R18;92Y;FULDA SPORTCONTROL 2;630 kg;Y ;max. 300 km/h;86,78;347,12;A
225/40;R18;92Y;DUNLOP SP SPORT MAXX RT 2;630 kg;Y ;max. 300 km/h;91,85;367,4;A
225/40;R18;92W;CONTINENTAL PREMIUM CONTACT 6;630 kg;W ;max. 270 km/h;103,64;414,56;A
225/40;R18;92Y;BRIDGESTONE TURANZA T005;630 kg;Y ;max. 300 km/h;102,35;409,4;A
225/40;R18;92Y;FIRESTONE ROADHAWK;630 kg;Y ;max. 300 km/h;82,49;329,96;A
225/40;R18;92Y;MICHELIN PILOT SPORT 5;630 kg;Y ;max. 300 km/h;122,94;491,76;A
225/40;R18;92Y;LEAO NOVA FORCE ACRO;630 kg;Y ;max. 300 km/h;57,5;230;A
225/40;R18;92Y;CONTINENTAL PREMIUM CONTACT 7;630 kg;Y ;max. 300 km/h;99,83;399,32;A
225/40;R18;92Y;HANKOOK K127B VENTUS S1 EVO3;630 kg;Y ;max. 300 km/h;108,91;435,64;A
225/40;R18;92Y;UNIROYAL RAINSPORT 5;630 kg;Y ;max. 300 km/h;87,33;349,32;A
225/40;R18;92Y;MAXXIS VICTRA SPORT 5;630 kg;Y ;max. 300 km/h;83,12;332,48;A
225/40;R18;92Y;BRIDGESTONE POTENZA S005;630 kg;Y ;max. 300 km/h;115,31;461,24;A
225/40;R18;92Y;SAVA INTENSA UHP 2;630 kg;Y ;max. 300 km/h;68,22;272,88;A
225/40;R18;92Y;HANKOOK K127 VENTUS S1 EVO3;630 kg;Y ;max. 300 km/h;87,85;351,4;A
225/40;R18;92W;FALKEN ZE-310 ZIEX ECORUN;630 kg;W ;max. 270 km/h;83,4;333,6;A
225/40;R18;92Y;GT RADIAL SPORT ACTIVE 2;630 kg;Y ;max. 300 km/h;91,18;364,72;A
225/40;R18;92Y;FALKEN FK-510;630 kg;Y ;max. 300 km/h;87,83;351,32;A
225/40;R18;92W;MAXXIS HP-5 PREMITRA 5;630 kg;W ;max. 270 km/h;73,86;295,44;A
225/40;R18;88Y;HANKOOK K117B VENTUS S1 EVO2;88 (560 kg);Y ;max. 300 km/h;104;416;A
225/40;R18;92Y;TOYO PROXES SPORT 2;630 kg;Y ;max. 300 km/h;85,33;341,32;A
225/40;R18;92Y;GOODYEAR EAGLE F1 ASYMMETRIC 5;630 kg;Y ;max. 300 km/h;94,45;377,8;A
225/40;R18;92Y;RADAR DIMAX R8 PLUS;630 kg;Y ;max. 300 km/h;80,95;323,8;A
225/40;R18;92Y;CONTINENTAL SPORT CONTACT 5;630 kg;Y ;max. 300 km/h;105,12;420,48;A
225/40;R18;92Y;BRIDGESTONE POTENZA SPORT;630 kg;Y ;max. 300 km/h;100,15;400,6;A
225/40;R18;92Y;KUMHO PS71;630 kg;Y ;max. 300 km/h;78,94;315,76;A
225/40;R18;92W;TOYO PROXES COMFORT;630 kg;W ;max. 270 km/h;76,2;304,8;A
225/40;R18;92W;UNIROYAL RAINSPORT 3;630 kg;W ;max. 270 km/h;114,86;459,44;A
225/40;R18;92Y;CONTINENTAL ECO CONTACT 6;630 kg;Y ;max. 300 km/h;102;408;B
225/40;R18;92Y;SYRON PREMIUM PERFORMANCE G2;630 kg;Y ;max. 300 km/h;66,18;264,72;B
225/40;R18;92Y;SUPERIA TIRES ECOBLUE UHP;630 kg;Y ;max. 300 km/h;59,97;239,88;B
225/40;R18;92Y;MINERVA F205;630 kg;Y ;max. 300 km/h;62,85;251,4;B
225/40;R18;92Y;LAUFENN S-FIT EQ+ (LK01);630 kg;Y ;max. 300 km/h;75,78;303,12;B
225/40;R18;92Y;NEXEN N`FERA PRIMUS (SU1 PLUS);630 kg;Y ;max. 300 km/h;82,3;329,2;B
225/40;R18;92W;SUPERIA TIRES STAR PLUS;630 kg;W ;max. 270 km/h;58,85;235,4;B
225/40;R18;92Y;SEMPERIT SPEED-LIFE 3;630 kg;Y ;max. 300 km/h;88,84;355,36;B
225/40;R18;92Y;BRIDGESTONE POTENZA S001;630 kg;Y ;max. 300 km/h;109,43;437,72;B
225/40;R18;92W;PIRELLI PZERO;630 kg;W ;max. 270 km/h;113,39;453,56;B
225/40;R18;92Y;GOODYEAR EAGLE F1 SUPERSPORT;630 kg;Y ;max. 300 km/h;110,56;442,24;B
225/40;R18;88Y;GOODYEAR EAGLE F1 ASYMMETRIC 2;88 (560 kg);Y ;max. 300 km/h;120,43;481,72;B
225/40;R18;92Y;VREDESTEIN ULTRAC VORTI+;630 kg;Y ;max. 300 km/h;126,98;507,92;B
225/40;R18;92Y;VREDESTEIN ULTRAC SATIN;630 kg;Y ;max. 300 km/h;89,87;359,48;B
225/40;R18;92W;TOURADOR X-SPEED TU1;630 kg;W ;max. 270 km/h;56,37;225,48;B
225/40;R18;92Y;MICHELIN PILOT SUPER SPORT;630 kg;Y ;max. 300 km/h;134,22;536,88;B
225/40;R18;92W;BRIDGESTONE TURANZA T001;630 kg;W ;max. 270 km/h;117,29;469,16;B
225/40;R18;92Y;BRIDGESTONE Potenza RE 050 A;630 kg;Y ;max. 300 km/h;134,75;539;B
225/40;R18;92Y;BERLIN TIRES SUMMER UHP1 G3;630 kg;Y ;max. 300 km/h;59,56;238,24;B
225/40;R18;92W;LEAO NOVA FORCE;630 kg;W ;max. 270 km/h;55,41;221,64;B
225/40;R18;92W;GOODRIDE SA57;630 kg;W ;max. 270 km/h;66,72;266,88;B
225/40;R18;92Y;PIRELLI CINTURATO P7;630 kg;Y ;max. 300 km/h;117,37;469,48;C
225/40;R18;92Y;RIKEN ULTRA HIGH PERFORMANCE;630 kg;Y ;max. 300 km/h;71,42;285,68;C
225/40;R18;92W;BERLIN TIRES SUMMER HP 1;630 kg;W ;max. 270 km/h;56,92;227,68;C
225/40;R18;92W;OVATION VI-388;630 kg;W ;max. 270 km/h;56,39;225,56;C
225/40;R18;92Y;SPORTIVA PERFORMANCE;630 kg;Y ;max. 300 km/h;73,05;292,2;C
225/40;R18;92Y;EP-TYRES ACCELERA PHI;630 kg;Y ;max. 300 km/h;56,92;227,68;C
225/40;R18;92Y;TOYO PROXES R888R;630 kg;Y ;max. 300 km/h;197,85;791,4;E
